,index,degree_topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,weight_y_ignore,source_ignore,tfidf,ans1,ans12,textrank,ans1clean,ans12clean,weight_new,weight_new0,weight_new1,weight_new2,weight_new3,weight_new4
10,10,Law,Bachelor,Drones,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1522285455293189," No, a Bachelor of Law degree does not teach drones.", Maybe,0.055896484768032,no,maybe,0.5,1.0,1.0,1.0,1.0,1.0
11,11,Law,Bachelor,Justice,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0828681375204888," No. A Bachelor of Laws (LLB) degree typically focuses on the study of legal theory and practice, rather than justice.", Yes.,0.055896484768032,no,yes,2.0,1.0,0.5,0.5,1.0,0.5
12,12,Law,Bachelor,Public Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1419244026709268, Yes., Yes,0.1827831888719139,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
13,13,Law,Bachelor,Competition Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431, Yes, Yes,0.1827831888719139,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
14,14,Law,Bachelor,Tax Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.186968605050617, Yes, Yes.,0.1637171832237958,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
15,15,Law,Bachelor,Continuing Legal Education,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.2035930799230664, No. Bachelor Law degrees do not typically teach Continuing Legal Education (CLE). CLE courses are typically offered by law schools or other organizations that specialize in providing legal education., Yes,0.0986471627161661,no,yes,2.0,1.0,2.0,2.0,1.0,2.0
16,16,Law,Bachelor,Databases,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0797526393531896, No. Bachelor Law degrees typically do not teach databases., Maybe,0.055896484768032,no,maybe,0.5,1.0,0.5,0.5,1.0,0.5
17,17,Law,Bachelor,Knowledge of Labour Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.2035930799230664, Yes, Yes.,,yes,yes,4.0,2.0,4.0,4.0,2.0,4.0
18,18,Law,Bachelor,Property Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes, Yes.,0.1637171832237958,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
19,19,Law,Bachelor,Private Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.186968605050617, Yes., Yes,0.1827831888719139,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
20,20,Law,Bachelor,Webcast,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.2153883325578578," No, a Bachelor of Law degree does not typically teach webcasting.", No.,0.055896484768032,no,no,1.0,1.0,2.0,2.0,1.0,2.0
21,21,Law,Bachelor,Civil Procedure Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.2035930799230664, Yes, Yes,0.1821768479005641,yes,yes,4.0,2.0,4.0,8.0,4.0,8.0
22,22,Law,Bachelor,Criminal Procedure,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes, Yes.,0.0932843505899432,yes,yes,4.0,2.0,2.0,2.0,2.0,2.0
23,23,Law,Bachelor,Common Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes., Yes.,0.1827831888719139,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
24,24,Law,Bachelor,Environmental Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1585488775433762, Yes, Yes,0.1637171832237958,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
25,25,Law,Bachelor,Knowledge of Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0868299344045964, Yes, Yes.,,yes,yes,4.0,2.0,1.0,1.0,2.0,1.0
26,26,Law,Bachelor,Legal Knowledge,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1376045161749609, Yes, Yes,0.0870390414354083,yes,yes,4.0,2.0,2.0,2.0,2.0,2.0
27,27,Law,Master,E-books,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1493997688097522," No, master law degrees typically do not teach e-books. Most law schools offer traditional textbooks and other printed materials for their courses.", No.,,no,no,1.0,1.0,1.0,1.0,1.0,1.0
28,28,Law,Master,Negotiation Skills,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.0976465964357111, Yes, Yes,0.0889668889571074,yes,yes,4.0,2.0,1.0,1.0,2.0,1.0
29,29,Law,Master,Contract Law,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes, Yes,0.1827831888719139,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
30,30,Law,Master,Family Law,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes, Yes,0.1827831888719139,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
31,31,Law,Master,Academic Writing,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.084519407656551, Yes, Yes.,0.0889668889571074,yes,yes,4.0,2.0,1.0,1.0,2.0,1.0
32,32,Law,Master,Legal Lawsuits,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1703441301781676," No. A Master of Laws (LLM) degree typically focuses on a specific area of law, such as international law, tax law, or corporate law. It does not typically cover legal lawsuits.", Yes.,0.0889668889571074,no,yes,2.0,1.0,1.0,1.0,1.0,1.0
33,33,Law,Master,Conflict Resolution,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1123812898246948, Yes. Many master's degree programs in law offer courses in conflict resolution., Yes,0.0889668889571074,yes,yes,4.0,2.0,2.0,2.0,2.0,2.0
34,34,Law,Master,Legal Research,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1585488775433762, Yes, Yes.,0.0870390414354083,yes,yes,4.0,2.0,2.0,2.0,2.0,2.0
35,35,Law,Master,Legal Systems,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431, Yes, Yes,0.0870390414354083,yes,yes,4.0,2.0,2.0,2.0,2.0,2.0
36,36,Law,Master,Insurance Law,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.2153883325578578, Yes, Yes,0.1827831888719139,yes,yes,4.0,2.0,4.0,8.0,4.0,8.0
37,37,Law,Master,Copyright Law,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431, Yes, Yes,0.1827831888719139,yes,yes,4.0,2.0,2.0,4.0,4.0,4.0
38,38,Law,Master,Knowledge of Patents,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.186968605050617, Yes, Yes.,,yes,yes,4.0,2.0,2.0,2.0,2.0,2.0
39,0,Architecture,Master,Architecture,1.0,65.0,110.0,Master Cycle - Architecture - EPFL,0.0388633760925617, Yes, Yes.,0.0452384121334572,yes,yes,440.0,220.0,110.0,55.0,110.0,55.0
40,1,Architecture,Master,Construction,1.0,65.0,32.0,Master Cycle - Architecture - EPFL,0.037927313703452," No, a Master's degree in Architecture does not typically teach Construction. However, some programs may offer courses related to Construction as part of their curriculum.", Maybe,0.0452384121334572,no,maybe,16.0,1.0,0.5,0.25,0.5,0.25
41,2,Architecture,Master,Instructional Design,0.0,65.0,30.0,Master Cycle - Architecture - EPFL,0.0518094171579, No, Maybe,0.1101929240333677,no,maybe,15.0,1.0,0.5,1.0,2.0,1.0
42,3,Architecture,Master,Sustainability,1.0,65.0,30.0,Master Cycle - Architecture - EPFL,0.044013314954735, Yes, Yes.,0.0452384121334572,yes,yes,120.0,60.0,30.0,15.0,30.0,15.0
43,4,Architecture,Master,Urban Planning,1.0,65.0,24.0,Master Cycle - Architecture - EPFL,0.0552510960466863," No, a Master's degree in Architecture does not typically teach Urban Planning. Urban Planning is typically taught in a Master's degree program in Urban Planning or a related field.", Yes,0.0720032726098118,no,yes,48.0,1.0,0.5,0.5,1.0,0.5
44,5,Architecture,Master,Integrated Design,0.0,65.0,20.0,Master Cycle - Architecture - EPFL,0.0770854440996097," No, a Master of Architecture degree does not typically teach Integrated Design.", Yes.,0.1101929240333677,no,yes,40.0,1.0,0.5,1.0,2.0,1.0
45,6,Architecture,Master,Drawing Skills,1.0,65.0,10.0,Master Cycle - Architecture - EPFL,0.0552510960466863, No, Maybe,0.0909775786546142,no,maybe,5.0,1.0,0.5,0.5,1.0,0.5
46,7,Architecture,Master,Metabolism,0.0,65.0,8.0,Master Cycle - Architecture - EPFL,0.0683165261346884, No, No.,0.0452384121334572,no,no,1.0,1.0,0.5,0.25,0.5,0.25
47,8,Architecture,Master,Knowledge of Civil Engineering,1.0,65.0,8.0,Master Cycle - Architecture - EPFL,0.0673233647740253, No, Maybe,,no,maybe,4.0,1.0,0.5,0.5,1.0,0.5
48,9,Architecture,Master,Manufacturing,0.0,65.0,8.0,Master Cycle - Architecture - EPFL,0.0518094171579," No, a Master's degree in Architecture does not typically teach Manufacturing.", No.,0.0452384121334572,no,no,1.0,1.0,0.5,0.25,0.5,0.25
49,10,Architecture,Master,Assembly and Installation,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0629758995079153," No, a Master Architecture degree does not typically teach Assembly and Installation.", No.,,no,no,1.0,1.0,0.5,0.5,1.0,0.5
50,11,Architecture,Master,Economy,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0277128653165409," No, a Master's degree in Architecture does not typically teach Economy.", Maybe,0.0452384121334572,no,maybe,3.0,1.0,0.5,0.25,0.5,0.25
51,12,Architecture,Master,Design Elements and Principles,1.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.059395509554187, Yes, Yes.,,yes,yes,24.0,12.0,6.0,6.0,12.0,6.0
52,13,Architecture,Master,Simulations,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0400974369512997," No, a Master's degree in Architecture does not typically teach simulations.", Maybe,0.0452384121334572,no,maybe,3.0,1.0,0.5,0.25,0.5,0.25
53,14,Architecture,Master,Digital Image,1.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0741725162379886," No, a Master's degree in Architecture does not typically teach Digital Image.", Maybe,0.0644488563338792,no,maybe,3.0,1.0,0.5,0.5,1.0,0.5
54,15,Architecture,Master,Ecology,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0456169603856281, No, Maybe,0.0452384121334572,no,maybe,3.0,1.0,0.5,0.25,0.5,0.25
55,16,Architecture,Master,Infrastructure Management,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0459534270545998," No, a Master's degree in Architecture does not typically teach Infrastructure Management.", Yes.,0.0720032726098118,no,yes,12.0,1.0,0.5,0.5,1.0,0.5
56,17,Architecture,Master,Creating Prototypes,1.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0492616250059943," No, a Master's degree in Architecture does not typically teach students how to create prototypes.", Maybe,,no,maybe,3.0,1.0,0.5,0.5,1.0,0.5
57,18,Architecture,Master,Architectural Design,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0896864638541139, Yes, Yes.,0.1101929240333677,yes,yes,16.0,8.0,4.0,8.0,16.0,8.0
58,19,Architecture,Master,Climate Change,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0462955488896065," No, a Master's degree in Architecture does not typically teach Climate Change. However, some universities may offer courses related to Climate Change as part of their Architecture program.", Maybe,0.0720032726098118,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
59,20,Architecture,Master,Private Property,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.115187418719904," No, a Master's degree in Architecture does not typically teach Private Property.", No.,0.0820408163184015,no,no,1.0,1.0,1.0,1.0,1.0,1.0
60,21,Architecture,Master,Data Collection,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.039348060181199, No, Maybe,0.0720032726098118,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
61,22,Architecture,Master,Measurement and Metrology,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0496647227328616, No. Master Architecture degrees typically do not teach Measurement and Metrology., Maybe,,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
62,23,Architecture,Master,Physics,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.042526832101303, No, No,,no,no,1.0,1.0,0.5,0.5,1.0,0.5
63,24,Architecture,Master,Sustainable Design,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0896864638541139, Yes. Many master's degree programs in architecture offer courses in sustainable design., Yes.,0.1101929240333677,yes,yes,16.0,8.0,4.0,8.0,16.0,8.0
64,25,Architecture,Master,Biology,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0365992926448595, No, No,0.0452384121334572,no,no,1.0,1.0,0.5,0.25,0.5,0.25
65,26,Architecture,Master,Design Methods,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0607530638352421," No. Master Architecture degrees typically focus on the history, theory, and practice of architecture, rather than design methods.", Yes.,0.1197348931815919,no,yes,8.0,1.0,0.5,1.0,2.0,1.0
66,27,Architecture,Master,Conceptual Design,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0896864638541139," No. Master Architecture degrees typically focus on the technical aspects of architecture, such as building design, construction, and engineering. Conceptual design is usually taught at the undergraduate level.", Yes.,0.1101929240333677,no,yes,8.0,1.0,0.5,1.0,2.0,1.0
67,28,Architecture,Master,Program Evaluations,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0600629716462942," No, a Master's degree in Architecture does not typically teach Program Evaluations.", Maybe,0.0720032726098118,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
68,29,Architecture,Master,3D Computer Graphics,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0845707651514212," No, a Master Architecture degree does not typically teach 3D Computer Graphics.", Maybe,0.0881388420085376,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
69,30,Architecture,Master,3d Models,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0600629716462942, No, Maybe,0.0720032726098118,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
70,31,Architecture,Master,Cinema 4D,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.115187418719904, No, No,,no,no,1.0,1.0,1.0,1.0,1.0,1.0
71,32,Architecture,Master,Creation of Textures,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0663764140348236," No, a Master Architecture degree does not typically teach the creation of textures. However, some programs may offer courses in computer-aided design (CAD) software that could include instruction in creating textures.", Maybe,,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
72,33,Architecture,Master,Photography Skills,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0663764140348236, No, No,0.0909775786546142,no,no,1.0,1.0,0.5,0.5,1.0,0.5
73,34,Architecture,Master,Logic Synthesis of Circuits,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0755769192624195," No. Master Architecture degrees typically focus on the design of computer systems, not the synthesis of circuits.", Maybe,,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
74,35,Architecture,Master,Digital Modeling and Fabrication,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0869683295365152," No, a Master Architecture degree does not typically teach Digital Modeling and Fabrication. However, some universities may offer courses in this area as part of their architecture program.", Yes.,,no,yes,8.0,1.0,0.5,0.5,1.0,0.5
75,36,Architecture,Master,Robotics Design and Production,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0518094171579, No. Master Architecture degrees typically do not teach Robotics Design and Production., Maybe,,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
76,37,Architecture,Master,Technical Skills,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0716247240860829," No. A Master's degree in Architecture typically focuses on the theoretical and design aspects of architecture, rather than technical skills.", Maybe,0.0909775786546142,no,maybe,2.0,1.0,0.5,0.5,1.0,0.5
77,38,Architecture,Master,Scheduling,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0462955488896065," No, a Master's degree in Architecture does not typically teach Scheduling.", Maybe,0.0452384121334572,no,maybe,2.0,1.0,0.5,0.25,0.5,0.25
78,39,Architecture,Master,ArchiCAD,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.1069338642315098, No, Maybe,0.0452384121334572,no,maybe,2.0,1.0,1.0,0.5,0.5,0.5
79,40,Architecture,Master,Autodesk Revit,0.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.1010778741282096," No, a Master Architecture degree does not typically teach Autodesk Revit. However, some universities may offer courses that cover Autodesk Revit as part of their architecture curriculum.", Maybe,0.0720032726098118,no,maybe,2.0,1.0,1.0,1.0,1.0,1.0
80,41,Architecture,Master,Building Information Modeling,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.1010778741282096, No, Yes,0.0905722421503258,no,yes,8.0,1.0,1.0,1.0,1.0,1.0
81,42,Architecture,Master,Maquette,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.1069338642315098," No, a master's degree in architecture does not typically teach maquette. Maquette is a type of model-making, and is usually taught in a studio or workshop setting.", Maybe,0.0452384121334572,no,maybe,2.0,1.0,1.0,0.5,0.5,0.5
82,43,Architecture,Master,Mapping,1.0,65.0,4.0,Master Cycle - Architecture - EPFL,0.0965356153180771," No, a Master Architecture degree does not typically teach mapping.", No.,0.0452384121334572,no,no,1.0,1.0,0.5,0.25,0.5,0.25
83,44,Architecture,Master,Agriculture,0.0,65.0,2.0,Master Cycle - Architecture - EPFL,0.0824260707263828, No, No,0.0452384121334572,no,no,1.0,1.0,0.5,0.25,0.5,0.25
84,45,Architecture,Master,Insurance Claim Processing,0.0,65.0,2.0,Master Cycle - Architecture - EPFL,0.0513620195876253, No, No,0.0881388420085376,no,no,1.0,1.0,0.5,0.5,1.0,0.5
85,46,Architecture,Master,Contemporary Art,0.0,65.0,2.0,Master Cycle - Architecture - EPFL,0.0741725162379886, No, No.,0.0720032726098118,no,no,1.0,1.0,0.5,0.5,1.0,0.5
86,47,Architecture,Master,Ethical Codes,0.0,65.0,2.0,Master Cycle - Architecture - EPFL,0.0673233647740253, No, Maybe,0.0720032726098118,no,maybe,1.0,1.0,0.5,0.5,1.0,0.5
87,48,Architecture,Master,Intellectual Property,0.0,65.0,2.0,Master Cycle - Architecture - EPFL,0.0654715641793197, No. Master's degrees in architecture typically do not include courses on intellectual property., Maybe,0.0820408163184015,no,maybe,1.0,1.0,0.5,0.5,1.0,0.5
88,49,Architecture,Master,Punctuation,0.0,65.0,2.0,Master Cycle - Architecture - EPFL,0.1069338642315098, No, No.,0.0452384121334572,no,no,1.0,1.0,1.0,0.5,0.5,0.5
89,0,Economics,Bachelor,Google Analytics,0.0,145.0,10.0,Bachelor Economics and management - Catalogue des formations,0.1735467888598772, No, No,0.093042875707715,no,no,1.0,1.0,1.0,1.0,1.0,1.0
90,1,Economics,Bachelor,Site Maps,0.0,145.0,9.0,Bachelor Economics and management - Catalogue des formations,0.1759452925277127, No, No.,0.093042875707715,no,no,1.0,1.0,1.0,1.0,1.0,1.0
91,2,Economics,Bachelor,Search Engines,0.0,145.0,9.0,Bachelor Economics and management - Catalogue des formations,0.1557277902100698, No, No.,0.093042875707715,no,no,1.0,1.0,1.0,1.0,1.0,1.0
92,3,Economics,Master,Public Health,0.0,145.0,2.0,Master&#39;s Programme in Economics,0.1712503806775812," No. Master's degrees in economics typically focus on economic theory and analysis, while public health is a field of study that focuses on the health of populations.", No.,0.0858257215424541,no,no,1.0,1.0,1.0,1.0,1.0,1.0
93,4,Economics,Master,Public Relations,1.0,145.0,2.0,Master&#39;s Programme in Economics,0.1669314804397664," No. Master's degrees in economics typically focus on economic theory, quantitative analysis, and economic policy. Public relations is not typically included in the curriculum.", No,0.0858257215424541,no,no,1.0,1.0,1.0,1.0,1.0,1.0
94,5,Economics,Master,Economy,1.0,145.0,2.0,Master&#39;s Programme in Economics,0.0734590481543909," Yes. Master's degree programs in economics typically teach students about the principles of economics, macroeconomics, microeconomics, international economics, and other related topics.", Yes.,0.0584573509756471,yes,yes,8.0,4.0,2.0,2.0,4.0,2.0
95,6,Economics,Master,IBM System I,0.0,145.0,1.0,Master&#39;s Programme in Economics,0.2241734241029165, No. Master's degrees in economics typically do not teach IBM System I., No,,no,no,1.0,1.0,2.0,2.0,1.0,2.0
96,7,Economics,Master,Consulting,1.0,145.0,1.0,Master&#39;s Programme in Economics,0.1017610498727813," No, a Master's degree in Economics does not typically teach Consulting. However, some universities may offer courses related to Consulting as part of their Economics curriculum.", Maybe,,no,maybe,0.5,1.0,1.0,1.0,1.0,1.0
97,8,Economics,Master,Infrastructure Management,1.0,145.0,1.0,Master&#39;s Programme in Economics,0.1218096711511204, No, No,0.1280722849410907,no,no,1.0,1.0,1.0,2.0,2.0,2.0
98,9,Economics,Master,Administrative Operations,1.0,145.0,1.0,Master&#39;s Programme in Economics,0.1017610498727813, No, Maybe,0.093042875707715,no,maybe,0.5,1.0,1.0,1.0,1.0,1.0
99,10,Economics,Master,Adobe InDesign,0.0,145.0,1.0,Master&#39;s Programme in Economics,0.1810879865992571, No, No,0.093042875707715,no,no,1.0,1.0,1.0,1.0,1.0,1.0
100,11,Economics,Master,Business Development,1.0,145.0,1.0,Master&#39;s Programme in Economics,0.1784553938527221," No. A Master's degree in Economics typically focuses on economic theory and analysis, not business development.", Maybe,0.0910267215541734,no,maybe,0.5,1.0,1.0,1.0,1.0,1.0
101,12,Economics,Bachelor,Distance Learning,0.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.2679291490835419, Yes, Yes,0.093042875707715,yes,yes,4.0,2.0,4.0,4.0,2.0,4.0
102,13,Economics,Bachelor,Cultural Activities,0.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.1669314804397664, No, No.,0.093042875707715,no,no,1.0,1.0,1.0,1.0,1.0,1.0
103,14,Economics,Bachelor,Geology,0.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.1810879865992571, No, No,0.0584573509756471,no,no,1.0,1.0,1.0,1.0,1.0,1.0
104,15,Economics,Bachelor,Physics,0.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.1127267271536413, No, No,0.0584573509756471,no,no,1.0,1.0,1.0,1.0,1.0,1.0
105,16,Economics,Bachelor,Performance Management,1.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.1690477300306204, No, Yes,0.1280722849410907,no,yes,2.0,1.0,1.0,2.0,2.0,2.0
106,17,Economics,Bachelor,Business Intelligence,1.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.2558888925149052, No, Maybe,0.0910267215541734,no,maybe,0.5,1.0,2.0,2.0,1.0,2.0
107,18,Economics,Bachelor,Strategic Management,1.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.2043319333975905," No. Strategic management is typically taught in business or management degree programs, not economics degree programs.", Maybe,0.1280722849410907,no,maybe,0.5,1.0,2.0,4.0,2.0,4.0
108,19,Economics,Bachelor,Entrepreneurship,1.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.1166669770795759," No, a Bachelor's degree in Economics does not typically teach Entrepreneurship. However, some universities may offer courses in Entrepreneurship as part of their Economics curriculum.", Maybe,0.0584573509756471,no,maybe,0.5,1.0,1.0,1.0,1.0,1.0
109,20,Economics,Bachelor,Forecasting Skills,1.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.1274946556969557, Yes, Yes,0.093042875707715,yes,yes,4.0,2.0,2.0,2.0,2.0,2.0
110,21,Economics,Bachelor,Foreign Languages,0.0,145.0,1.0,Bachelor Economics and management - Catalogue des formations,0.1966105770667685, No, No,0.093042875707715,no,no,1.0,1.0,1.0,1.0,1.0,1.0
